Date,Log_Total_Trips,Log_Population,Time_Index,Population_YoY_Growth,COVID_Flag,Post_COVID_Recovery,Month
2017-07-01,17.83038442249504,16.56984823857604,12,1.5836059578489659,0,0,7
2017-08-01,17.93815053569412,16.56984823857604,13,1.5836059578489659,0,0,8
2017-09-01,17.861853857252516,16.56984823857604,14,1.5836059578489659,0,0,9
2017-10-01,17.89813171887239,16.56984823857604,15,1.5836059578489659,0,0,10
2017-11-01,17.917932262072465,16.56984823857604,16,1.5836059578489659,0,0,11
2017-12-01,17.785808546969637,16.56984823857604,17,1.5836059578489659,0,0,12
2018-01-01,17.744066321075366,16.582392527622726,18,1.2623298668061222,0,0,1
2018-02-01,17.838552350795343,16.582392527622726,19,1.2623298668061222,0,0,2
2018-03-01,17.978396852147412,16.582392527622726,20,1.2623298668061222,0,0,3
2018-04-01,17.856611047073716,16.582392527622726,21,1.2623298668061222,0,0,4
2018-05-01,18.001124312855687,16.582392527622726,22,1.2623298668061222,0,0,5
2018-06-01,17.880282066343277,16.582392527622726,23,1.2623298668061222,0,0,6
2018-07-01,17.8877998305505,16.582392527622726,24,1.2623298668061222,0,0,7
2018-08-01,17.984508980220955,16.582392527622726,25,1.2623298668061222,0,0,8
2018-09-01,17.90055024714715,16.582392527622726,26,1.2623298668061222,0,0,9
2018-10-01,17.94051019832051,16.582392527622726,27,1.2623298668061222,0,0,10
2018-11-01,17.96738819161118,16.582392527622726,28,1.2623298668061222,0,0,11
2018-12-01,17.819616687302936,16.582392527622726,29,1.2623298668061222,0,0,12
2019-01-01,17.808393125042194,16.593925773179468,30,1.1600009856086002,0,0,1
2019-02-01,17.91131477104422,16.593925773179468,31,1.1600009856086002,0,0,2
2019-03-01,18.02887164663196,16.593925773179468,32,1.1600009856086002,0,0,3
2019-04-01,17.903013586844104,16.593925773179468,33,1.1600009856086002,0,0,4
2019-05-01,18.041606600539787,16.593925773179468,34,1.1600009856086002,0,0,5
2019-06-01,17.912574918180336,16.593925773179468,35,1.1600009856086002,0,0,6
2019-07-01,17.969307070378406,16.593925773179468,36,1.1600009856086002,0,0,7
2019-08-01,18.006068981467614,16.593925773179468,37,1.1600009856086002,0,0,8
2019-09-01,17.960993762615928,16.593925773179468,38,1.1600009856086002,0,0,9
2019-10-01,18.00832106280591,16.593925773179468,39,1.1600009856086002,0,0,10
2019-11-01,17.997278553935622,16.593925773179468,40,1.1600009856086002,0,0,11
2019-12-01,17.88520507210679,16.593925773179468,41,1.1600009856086002,0,0,12
2020-01-01,17.86028262507588,16.60183081960596,42,0.7936373799701357,0,0,1
2020-02-01,17.91466793664947,16.60183081960596,43,0.7936373799701357,0,0,2
2020-03-01,17.623245694465563,16.60183081960596,44,0.7936373799701357,1,0,3
2020-04-01,16.315852550892945,16.60183081960596,45,0.7936373799701357,1,0,4
