Date,Bus,Ferry,Light Rail,Metro,Train,Unallocated,Total_Trips,Year,Total_Population,Per_Capita_Trips,Population_YoY_Growth,Trips_YoY_Growth,Trips_MoM_Change,Trips_MoM_Pct_Change,Log_Total_Trips,Log_Population,Bus_Proportion,Bus_Per_Capita,Ferry_Proportion,Ferry_Per_Capita,Light Rail_Proportion,Light Rail_Per_Capita,Metro_Proportion,Metro_Per_Capita,Train_Proportion,Train_Per_Capita,Time_Index,Month,Quarter,Season,COVID_Flag,Post_COVID_Recovery
2016-07-01,21198509.0,1213712.0,827732.0,0.0,28819249.0,0.0,52059202.0,2016,15465716.0,3366.103580332136,,,,,17.76789212894606,16.55413626112205,40.72000373728357,1370.6775037120815,2.331407231328671,78.47758228587672,1.5899821130565928,53.52044483423852,0.0,0.0,55.358606918331176,1863.428049499939,0,7,3,3,0,0
2016-08-01,25210772.0,1095055.0,840800.0,0.0,32393980.0,0.0,59540607.0,2016,15465716.0,3849.8448439115264,,,7481405.0,14.370955974315546,17.902169108326945,16.55413626112205,42.342148107425245,1630.1070057150926,1.8391733896834475,70.80532191332105,1.4121454959301976,54.36541056359757,0.0,0.0,54.40653300696111,2094.5671057195154,1,8,3,3,0,0
2016-09-01,23011540.0,1143718.0,758073.0,0.0,30648352.0,0.0,55561683.0,2016,15465716.0,3592.57101320107,,,-3978924.0,-6.682706476270894,17.83300436696831,16.55413626112205,41.41620404119148,1487.9065411520553,2.0584653636211847,73.95182997023869,1.3643809169711436,49.01635333275226,0.0,0.0,55.160949678216184,1981.6962887460238,2,9,3,4,0,0
2016-10-01,23095302.0,1281152.0,776960.0,0.0,30106833.0,0.0,55260247.0,2016,15465716.0,3573.0804186498704,,,-301436.0,-0.5425249627517559,17.82756434722878,16.55413626112205,41.79370027064845,1493.3225205997576,2.318397165325736,82.83819514078753,1.4060016778426632,50.23757063688484,0.0,0.0,54.481900886183155,1946.6821322724406,3,10,4,4,0,0
2016-11-01,24422383.0,1302501.0,705265.0,0.0,31318279.0,0.0,57748428.0,2016,15465716.0,3733.964078998994,,,2488181.0,4.502659932012243,17.871606686216463,16.55413626112205,42.29099188639386,1579.1304456903256,2.255474382783199,84.21860326414891,1.221271339195588,45.60183311267322,0.0,0.0,54.23226239162735,2025.0131969318459,4,11,4,4,0,0
2016-12-01,20880865.0,1506986.0,726521.0,0.0,28189584.0,0.0,51303956.0,2016,15465716.0,3317.270018407166,,,-6444472.0,-11.159562646449873,17.753278422177534,16.55413626112205,40.70030194162805,1350.138913710817,2.9373680267463196,97.44042888153385,1.4161110694855579,46.976227935389474,0.0,0.0,54.94621896214007,1822.7144478794257,5,12,4,1,0,0
2017-01-01,19550895.0,1738083.0,428998.0,0.0,26735422.0,0.0,48453398.0,2017,15710632.0,3084.115139352765,,,-2850558.0,-5.556214807294779,17.696113028000692,16.56984823857604,40.34989455228713,1244.4372065999637,3.587123033146199,110.63100453247202,0.8853826928711996,27.30622167204986,0.0,0.0,55.17759972169547,1701.7407065482787,6,1,1,1,0,0
2017-02-01,22534683.0,1186315.0,740308.0,0.0,28767036.0,0.0,53228342.0,2017,15710632.0,3388.0458787399516,,,4774944.0,9.854714420648069,17.79010155681488,16.56984823857604,42.33587249439405,1434.3587832749186,2.2287280712219064,75.51032956535421,1.3908154418937189,47.12146525995899,0.0,0.0,54.04458399249032,1831.0553006397197,7,2,1,1,0,0
2017-03-01,26811115.0,1216242.0,875062.0,0.0,34566385.0,0.0,63468804.0,2017,15710632.0,4039.86319582815,,,10240462.0,19.23873939188261,17.966059067556976,16.56984823857604,42.24298129203758,1706.558654037597,1.9162831554223079,77.41521792376017,1.3787277289800515,55.69871409374238,0.0,0.0,54.46200782356006,2200.1906097730503,8,3,1,2,0,0
2017-04-01,20723045.0,1408468.0,815237.0,0.0,28745729.0,0.0,51692479.0,2017,15710632.0,3290.286412411671,,,-11776325.0,-18.554509078192183,17.76082285500849,16.56984823857604,40.089091103562666,1319.0459174398586,2.724705851309627,89.6506264038264,1.5770901604467453,51.890783260660676,0.0,0.0,55.609112884680954,1829.6990853073255,9,4,2,2,0,0
2017-05-01,26075384.0,1149830.0,833483.0,0.0,34863010.0,0.0,62921707.0,2017,15710632.0,4005.039835443921,,,11229228.0,21.723136938354216,17.95740176547484,16.56984823857604,41.44099904981917,1659.7285201511945,1.8273979757097183,73.18801687927004,1.324635073870453,53.05216238277365,0.0,0.0,55.40696790060067,2219.0711360306827,10,5,2,2,0,0
